個股代號／公司名字,時富雷達 (CR),基本分析比重,技術分析比重,基本分析分數,技術分析分數,相對強弱指數 RSI（9天）,波幅指數 Volatility（10天）,平均線 SMA（10天）,銷售額增長标准分数,債務股本比例标准分数,淨收入改善标准分数,資本回報标准分数,保留盈餘增長标准分数,TA4,TA5,移動平均線标准分数,相對強弱指數标准分数,布林线指标标准分数
1 HK/ 長和,1.89,75.0%,25.0%,4.49,0.94,58.1411,24.071,,-1.229112023,-1.879868125,1.289067657,-0.9507880307,0.2007309164,,,,0.92945,0.947886746
101 HK/ 恒隆地產,8.86,45.9%,54.1%,5.10,8.87,40.5034,37.466,,-0.2581574391,1.756519427,-0.08270593244,-0.4478238963,-0.4825298167,,,,9.7483,7.98951049
1024 HK/ 快手,#VALUE!,40.0%,60.0%,#VALUE!,9.00,37.968,63.272,,-3.154461853,0.6067931457,1.063909085,#VALUE!,#DIV/0!,,,,10,8.00304878
1038 HK/ 長江基建集團,1.46,75.0%,25.0%,4.30,0.00,66.9215,20.014,,-0.3106042423,-2.061073174,-0.02872919957,-0.3182730494,-0.7828012986,,,,0,0
1044 HK/ 恒安國際,4.27,75.0%,25.0%,3.31,9.17,34.434,19.755,,0.1036772385,-0.4096913313,-2.991335818,-4.031567797,-1.13646963,,,,10,8.338557994
1088 HK/ 中國神華,2.16,61.8%,38.2%,6.13,0.00,70.9964,30.646,,-1.201601157,-0.2225599139,3.031557264,5,-0.9770163979,,,,0,0
1093 HK/ 石藥集團,8.90,46.5%,53.5%,4.69,9.36,30.1373,37.198,,0.05258806214,-0.1318776892,0.1068386485,-0.7373772583,-0.8421897522,,,,10,8.716931217
11 HK/ 恒生銀行,6.48,75.0%,25.0%,4.12,9.66,26.1879,24.314,,1.016424813,0.8265383249,-2.518725668,-2.296641501,-1.428988905,,,,10,9.318555974
1109 HK/ 華潤置地,8.06,48.7%,51.3%,3.59,9.00,39.8951,36.257,,-0.941867435,0.02660048763,-0.9879184039,-3.110565885,-2.036237184,,,,10,8.008204193
1113 HK/ 長實集團,3.25,75.0%,25.0%,4.05,5.36,49.508,13.473,,-0.3927495614,-2.921455636,-0.3697959453,-0.4016324518,-0.6442051289,,,,5.246,5.469075747
1177 HK/ 中國生物製藥,3.40,75.0%,25.0%,4.83,3.30,51.9979,19.291,,0.6588080251,-0.01244409942,-0.7346330143,-0.2189939441,-0.559198042,,,,4.00105,2.601626016
12 HK/ 恒基地產,5.32,75.0%,25.0%,4.29,7.51,42.6416,17.063,,-0.9346397114,0.1656125005,-0.6568034633,-0.9221078888,-1.184046536,,,,8.6792,6.33378933
1209 HK/ 華潤萬象生活,3.36,48.7%,51.3%,4.80,4.08,39.1377,36.277,,-0.6520888456,-0.846222244,1.255360675,0.139436074,-0.9074638306,,,,10,8.545327997
1211 HK/ 比亞迪股份,9.26,40.0%,60.0%,4.93,9.63,29.801,50.949,,0.3334414358,-1.856612642,0.5292036151,0.4904561956,0.1354989349,,,,10,9.257956902
1288 HK/ 農業銀行,2.02,75.0%,25.0%,4.72,0.59,59.3731,23.679,,0.2675413734,0.8129102744,-0.2428341968,-0.8302898199,-1.385185021,,,,0.31345,0.8695652174
1299 HK/ 友邦保險,8.67,40.0%,60.0%,3.11,9.45,36.4219,42.325,,-3.319901928,5,-5,-1.701367524,-4.437329921,,,,10,8.905767568
1378 HK/ 中國宏橋,7.60,73.2%,26.8%,4.91,9.19,34.6343,25.763,,0.5578179948,-2.046976685,0.3768341962,1.511848624,-0.8352330708,,,,10,8.38012959
1398 HK/ 工商銀行,1.61,75.0%,25.0%,4.48,0.00,67.4296,23.615,,0.1063018833,1.201722158,-1.003478757,-1.30994191,-1.577124804,,,,0,0
16 HK/ 新鴻基地產,8.16,58.4%,41.6%,4.70,8.88,40.8686,32.099,,-0.2408297237,1.21583851,-1.022427854,-0.9726185801,-0.4667820871,,,,9.5657,8.200301205
1658 HK/ 郵儲銀行,3.13,40.0%,60.0%,5.06,3.84,51.9649,41.93,,0.9505387155,-1.148536475,1.055212097,-0.2005801221,-0.3798437816,,,,4.01755,3.65914787
17 HK/ 新世界發展,8.32,57.3%,42.7%,4.65,9.15,37.4092,32.582,,-0.5508783097,1.305795753,-0.9306460613,-0.8785661582,-0.6945960361,,,,10,8.294367694
175 HK/ 吉利汽車,9.26,40.0%,60.0%,4.92,9.64,23.5051,45.32,,-0.04588792092,5,-1.900394197,-1.256300335,-2.184310413,,,,10,9.276276276
1810 HK/ 小米集團,8.78,47.1%,52.9%,3.71,10.00,25.7189,36.959,,-1.705866978,1.374776726,-2.329232265,-3.625361796,-0.1881590036,,,,10,10
1876 HK/ 百威亞太,5.06,40.0%,60.0%,5.55,4.67,50.3167,41.169,,0.3893653371,-0.6629920191,1.723071233,1.671805223,-0.3958617216,,,,4.84165,4.492685229
1928 HK/ 金沙中國有限公司,9.42,40.0%,60.0%,5.48,9.85,38.2884,45.106,,-0.5970443839,5,-1.299764855,-1.319559727,0.6374553186,,,,10,9.705987809
1929 HK/ 周大福,9.26,40.0%,60.0%,5.26,9.41,29.1119,44.359,,-0.7741572151,1.402961611,0.1979064227,0.3750385018,0.096436234,,,,10,8.817131203
1997 HK/ 九龍倉置業,#DIV/0!,59.7%,40.3%,#DIV/0!,4.84,49.8395,31.572,,-1.512063259,0.5202354145,-0.759623133,-0.6168764839,#DIV/0!,,,,5.08025,4.594257179
2 HK/ 中電控股,2.59,71.8%,28.2%,4.31,3.39,53.1123,26.376,,2.488150677,5,-3.960111197,-3.124319969,-3.832237423,,,,3.44385,3.332221481
20 HK/ 商湯集團股份有限公司,#DIV/0!,54.8%,45.2%,#DIV/0!,5.04,49.5027,33.653,,-1.420453891,#DIV/0!,1.046894538,#DIV/0!,-2.211082307,,,,5.24865,4.830508475
2007 HK/ 碧桂園,8.40,40.0%,60.0%,2.03,9.73,27.0105,49.536,,-1.617558979,-1.699226726,-4.457771598,-4.366094202,-2.710705075,,,,10,9.452380952
2015 HK/ 理想汽車,#DIV/0!,40.0%,60.0%,#DIV/0!,9.17,40.1856,61.576,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,9.9072,8.435693995
